English,German
Apple,Apfel
Book,Buch
Cat,Katze
Dog,Hund
Elephant,Elefant
Fish,Fisch
Garden,Garten
House,Haus
Ice,Eis
Juice,Saft
Kite,Drachen
Lemon,Zitrone
Mountain,Berg
Night,Nacht
Ocean,Ozean
Pencil,Bleistift
Queen,Königin
River,Fluss
Sun,Sonne
Tree,Baum
Umbrella,Regenschirm
Village,Dorf
Water,Wasser
Xylophone,Xylophon
Yellow,Gelb
Zebra,Zebra
Airplane,Flugzeug
Bicycle,Fahrrad
Car,Auto
Door,Tür
Egg,Ei
Flower,Blume
Grass,Gras
Hat,Hut
Island,Insel
Jacket,Jacke
Key,Schlüssel
Lion,Löwe
Moon,Mond
Nest,Nest
Orange,Orange
Piano,Klavier
Quilt,Steppdecke
Road,Straße
Star,Stern
Table,Tisch
Universe,Universum
Vase,Vase
Window,Fenster
X-ray,Röntgenstrahl
Yard,Hof
Zoo,Zoo
Ball,Ball
Chair,Stuhl
Desk,Schreibtisch
Earth,Erde
Frog,Frosch
Guitar,Gitarre
Hill,Hügel
Ink,Tinte
Jar,Glas
King,König
Lamp,Lampe
Milk,Milch
Needle,Nadel
Octopus,Krake
Pen,Kugelschreiber
Question,Frage
Ring,Ring
Snake,Schlange
Turtle,Schildkröte
Violin,Geige
Wolf,Wolf
Xylophonist,Xylophonspieler
Yarn,Garn
Zip,Reißverschluss
Bag,Tasche
Cup,Tasse
Drum,Trommel
Eggplant,Aubergine
Flag,Fahne
Glass,Glas
Horse,Pferd
Ice Cream,Eiscreme
Jug,Krug
Knife,Messer
Lamp,Lampe
Mushroom,Pilz
Notebook,Notizbuch
Onion,Zwiebel
Pillow,Kissen
Quilt,Steppdecke
Ring,Ring
Soap,Seife
Toothbrush,Zahnbürste
Vase,Vase
Wall,Wand
Xylophone,Xylophon
Yard,Hof
Zipper,Reißverschluss
